Uniprot,GeneName
O00764,PKH
O00764,PNK
O00764,PRED79
P11086,PNMT
P11086,PENT
Q9P212,PLCE1
Q9P212,KIAA1516
Q9P212,PLCE
Q9P212,PPLC
Q8NI37,PPTC7
Q8NI37,TAPP2C
Q00889,PSG6
Q00889,CGM3
Q00889,PSG10
Q00889,PSG12
Q00889,PSGGB
O95997,PTTG1
O95997,EAP1
O95997,PTTG
O95997,TUTR1
Q13332,PTPRS
P0DJH9,RD3L
Q9HBD1,RC3H2
Q9HBD1,MNAB
Q9HBD1,RNF164
Q9UL26,RAB22A
Q9UL26,RAB22
Q9H2T7,RANBP17
Q6IQ22,RAB12
P61019,RAB2A
P61019,RAB2
Q7Z6E9,RBBP6
Q7Z6E9,P2PR
Q7Z6E9,PACT
Q7Z6E9,RBQ1
Q7Z6E9,My038
Q9NS91,RAD18
Q9NS91,RNF73
P61006,RAB8A
P61006,MEL
P61006,RAB8
Q68EM7,ARHGAP17
Q68EM7,RICH1
Q68EM7,MSTP066
Q68EM7,MSTP110
Q9NWB1,RBFOX1
Q9NWB1,A2BP
Q9NWB1,A2BP1
Q9NWB1,FOX1
Q9NWB1,HRNBP1
Q6PCD5,RFWD3
Q6PCD5,RNF201
P35250,RFC2
P50120,RBP2
P50120,CRBP2
Q9BZI7,UPF3B
Q9BZI7,RENT3B
Q9BZI7,UPF3X
Q9H920,RNF121
Q9Y508,RNF114
Q9Y508,ZNF228
Q9Y508,ZNF313
Q96MT1,RNF145
P36578,RPL4
P36578,RPL1
P12271,RLBP1
P12271,CRALBP
Q68DV7,RNF43
P47736,RAP1GAP
P47736,KIAA0474
P47736,RAP1GA1
P14678,SNRPB
P14678,COD
P14678,SNRPB1
P62081,RPS7
P82650,MRPS22
P82650,C3orf5
P82650,RPMS22
P82650,GK002
Q8N4F4,SLC22A24
Q8TBP6,SLC25A40
Q8TBP6,MCFP
O95156,NXPH2
O95156,NPH2
Q8N146,OR8H3
Q9UKK6,NXT1
P0C628,OR5AC1
P0C628,OR5AC1P
Q8NGK0,OR51G2
Q6ZVC0,NYAP1
Q6ZVC0,C7orf51
Q96R47,OR2A14
Q96R47,OR2A14P
Q96R47,OR2A6
Q8NGN4,OR10G9
Q8NGN4,OR10G10P
Q8NH73,OR4S2
Q8NH73,OR4S2P
Q9ULC6,PADI1
Q9ULC6,PAD1
Q9ULC6,PDI1
Q9Y5G2,PCDHGB2
P0DN26,PPIAL4F
Q4G0U5,CFAP221
Q4G0U5,PCDP1
Q8IY49,MMD2
Q8IY49,PAQR10
O95263,PDE8B
O95263,PIG22
P51160,PDE6C
P51160,PDEA2
Q9NPG4,PCDH12
Q9NPG4,UNQ395/PRO731
Q9Y5E2,PCDHB7
O15350,TP73
O15350,P73
Q15120,PDK3
Q15120,PDHK3
P23219,PTGS1
P23219,COX1
Q9UKK3,PARP4
Q9UKK3,ADPRTL1
Q9UKK3,KIAA0177
Q9UKK3,PARPL
Q86V59,PNMA8A
Q86V59,PNMAL1
O43316,PAX4
Q8N4L2,PIP4P2
Q8N4L2,TMEM55A
Q15124,PGM5
Q15124,PGMRP
Q8N414,PGBD5
P15309,ACP3
P15309,ACPP
Q9P1A2,PPP4R1L
Q9P1A2,C20orf192
Q9P1A2,PRO1085
Q13401,PMS2P3
Q13401,PMS2L3
Q13401,PMS2L9
Q13401,PMS5
Q13401,PMSR3
Q96BZ4,PLD4
Q96BZ4,C14orf175
Q96BZ4,UNQ2488/PRO5775
P40967,PMEL
P40967,D12S53E
P40967,PMEL17
P40967,SILV
O15297,PPM1D
O15297,WIP1
Q02325,PLGLB1
Q02325,PLGL
Q02325,PRGB;
Q02325,PLGLB2
Q02325,PLGP1
P26678,PLN
P26678,PLB
P13796,LCP1
P13796,PLS2
O14818,PSMA7
O14818,HSPC
P27918,CFP
P27918,PFC
Q8N8Z3,DIP2C-AS1
Q8N8Z3,C10orf108
Q8N8Z3,PRR26
Q13046,PSG7
O75832,PSMD10
Q15262,PTPRK
Q15262,PTPK
Q59GN2,RPL39P5
A8MTL3,RNF212B
A8MTL3,C14orf164
Q6NUJ5,PWWP2B
Q6NUJ5,PWWP2
P01116,KRAS
P01116,KRAS2
P01116,RASK2
P48304,REG1B
P48304,PSPS2
P48304,REGL
Q69383,ERVK-6
Q69383,ERVK6
P04090,RLN2
Q5U651,RASIP1
Q15291,RBBP5
Q15291,RBQ3
Q9NYW8,RBAK
Q9NYW8,ZNF769
P0C0E4,RAB40AL
P0C0E4,RLGP
Q13123,IK
Q13123,RED
Q13123,RER
Q7Z6P3,RAB44
Q53QZ3,ARHGAP15
Q53QZ3,BM-024
Q53QZ3,BM-030
Q53QZ3,BM-046
Q96IC2,REXO5
Q96IC2,44M2.3
O14827,RASGRF2
O14827,GRF2
Q9H0H5,RACGAP1
